iter	Passed	Remaining
419	2576	3557
420	2579	3548
421	2583	3539
422	2587	3529
423	2591	3520
424	2595	3511
425	2598	3501
426	2602	3491
427	2606	3483
428	2610	3474
429	2613	3464
430	2617	3455
431	2621	3446
432	2624	3437
433	2628	3427
434	2631	3418
435	2635	3408
436	2639	3400
437	2643	3391
438	2647	3382
439	2650	3373
440	2655	3365
441	2659	3357
442	2662	3348
443	2667	3340
444	2673	3334
445	2677	3326
446	2682	3318
447	2686	3310
448	2690	3301
449	2694	3292
450	2697	3283
451	2701	3274
452	2705	3266
453	2709	3258
454	2712	3249
455	2716	3240
456	2720	3232
457	2723	3223
458	2727	3214
459	2731	3206
460	2735	3198
461	2739	3190
462	2743	3181
463	2747	3173
464	2751	3166
465	2755	3157
466	2759	3149
467	2763	3140
468	2766	3132
469	2770	3124
470	2774	3116
471	2779	3109
472	2784	3102
473	2787	3093
474	2791	3085
475	2795	3076
476	2798	3068
477	2802	3060
478	2806	3052
479	2809	3044
480	2813	3035
481	2817	3028
482	2821	3020
483	2825	3012
484	2829	3004
485	2834	2997
486	2838	2989
487	2841	2981
488	2845	2973
489	2849	2965
490	2852	2957
491	2856	2949
492	2860	2941
493	2865	2935
494	2870	2928
495	2874	2920
496	2877	2912
497	2882	2905
498	2887	2898
499	2890	2890
500	2894	2883
501	2899	2876
502	2904	2869
503	2908	2861
504	2911	2854
505	2916	2847
506	2920	2839
507	2924	2832
508	2928	2824
509	2933	2818
510	2936	2810
511	2940	2802
512	2945	2796
513	2950	2789
514	2953	2781
515	2957	2774
516	2962	2767
517	2966	2760
518	2971	2753
519	2976	2747
520	2982	2742
521	2988	2736
522	2992	2729
523	2997	2722
524	3001	2715
525	3005	2708
526	3009	2701
527	3015	2695
528	3020	2689
529	3023	2681
530	3029	2675
531	3034	2669
532	3040	2663
533	3047	2659
534	3053	2653
535	3060	2649
536	3067	2644
537	3074	2639
538	3080	2634
539	3084	2627
540	3089	2621
541	3094	2614
542	3099	2608
543	3103	2601
544	3107	2594
545	3112	2588
546	3117	2581
547	3122	2575
548	3126	2568
549	3131	2562
550	3136	2556
551	3143	2551
552	3146	2543
553	3150	2536
554	3154	2529
555	3158	2522
556	3163	2515
557	3167	2508
