iter	RMSE
275	17.4228478
276	17.38566885
277	17.36082357
278	17.33427564
279	17.30841244
280	17.28949755
281	17.26482948
282	17.23170143
283	17.20558458
284	17.18267543
285	17.15405234
286	17.13475644
287	17.11083621
288	17.09205268
289	17.06123519
290	17.03592459
291	17.01428946
292	16.99801081
293	16.98037758
294	16.94941517
295	16.924008
296	16.90616399
297	16.88852005
298	16.86261191
299	16.84072042
300	16.82116044
301	16.79685243
302	16.78337974
303	16.76592303
304	16.75064725
305	16.73354782
306	16.71209566
307	16.69107445
308	16.66407597
309	16.64619605
310	16.60779761
311	16.58809077
312	16.58132574
313	16.56026726
314	16.53088639
315	16.51215515
316	16.49216325
317	16.47813832
318	16.44874613
319	16.43134299
320	16.40998919
321	16.39457755
322	16.37238517
323	16.36451819
324	16.34620551
325	16.31623054
326	16.29723415
327	16.27372768
328	16.25353801
329	16.23180902
330	16.21000848
331	16.19275343
332	16.17114923
333	16.15162229
334	16.1303825
335	16.11741801
336	16.09908486
337	16.07685372
338	16.05744988
339	16.04042881
340	16.0203041
341	16.00686362
342	15.97877558
343	15.94374696
344	15.91674373
345	15.89420468
346	15.87758269
347	15.85709562
348	15.83197415
349	15.81164597
350	15.79950448
351	15.79082247
352	15.77873722
353	15.76418241
354	15.74938429
355	15.73521758
356	15.72086503
357	15.70260187
358	15.68097878
359	15.67271156
360	15.66026172
361	15.64274526
362	15.63103725
363	15.60839465
364	15.59747577
365	15.57793412
366	15.57365382
367	15.55271953
368	15.54084732
369	15.52169499
370	15.4994411
371	15.4789449
372	15.4700505
373	15.44540228
374	15.42609996
375	15.40291549
376	15.38678694
377	15.37402563
378	15.35872482
379	15.34337942
380	15.32624253
381	15.30804805
382	15.29271316
383	15.27127267
384	15.24746315
385	15.23328007
386	15.20516422
387	15.19417665
388	15.17497719
389	15.15796794
390	15.14025614
391	15.12826817
392	15.09928074
393	15.09101044
394	15.06972837
395	15.05169042
396	15.03933957
397	15.0205083
398	14.99544123
399	14.9848133
400	14.97498058
401	14.95644524
402	14.93086591
403	14.92466188
404	14.91177629
405	14.90486193
406	14.88683369
407	14.87167085
408	14.86076971
409	14.84896314
410	14.82665338
411	14.8162617
412	14.80103096
413	14.78741792
414	14.77621402
415	14.76882
416	14.75838858
417	14.74667533
418	14.73651584
419	14.71704241
420	14.70799475
421	14.68724422
422	14.66696838
423	14.64991364
424	14.63042629
425	14.61306955
426	14.6003304
427	14.5941742
428	14.56986466
429	14.55058382
430	14.54496267
431	14.53652375
432	14.51697914
433	14.49684272
434	14.4892432
435	14.47653245
436	14.45765568
437	14.44261754
438	14.42133331
439	14.39484584
440	14.37951316
441	14.36644068
442	14.35531764
443	14.34741807
444	14.32922826
445	14.31237602
446	14.30243157
447	14.28162871
448	14.26390866
449	14.24757374
450	14.21960677
451	14.2121056
452	14.19895572
453	14.19128979
454	14.1764781
455	14.15431396
456	14.13846785
457	14.12798774
458	14.12170504
459	14.10811195
460	14.09576712
461	14.08697642
462	14.08071719
463	14.0624948
464	14.04593248
465	14.03048162
466	14.02091027
467	14.00952181
468	14.00392264
469	13.98072964
470	13.97092251
471	13.96135883
472	13.94219664
473	13.93239767
474	13.91934771
475	13.90653399
476	13.89282825
477	13.88593113
478	13.87173909
479	13.85304332
480	13.84382704
481	13.83238516
482	13.82333258
483	13.81389695
484	13.80255872
485	13.78756665
486	13.7797758
487	13.76708165
488	13.75256449
489	13.74367659
490	13.73614339
491	13.71545461
492	13.70315378
493	13.69003634
494	13.67489855
495	13.6589972
496	13.64803107
497	13.62616285
498	13.61502785
499	13.59868517
500	13.58703979
501	13.58073704
502	13.56416556
503	13.55311107
504	13.53784439
505	13.53532682
506	13.52473219
507	13.51199126
508	13.49550615
509	13.48568961
510	13.46872702
511	13.46196592
512	13.45921376
513	13.45197941
514	13.4333073
515	13.42654472
516	13.40726662
517	13.39473446
518	13.37717546
519	13.36590704
520	13.35325222
521	13.34287975
522	13.33465071
523	13.32629177
524	13.31516658
525	13.30369633
526	13.29731462
527	13.28947818
528	13.28016355
529	13.27195732
530	13.25758913
531	13.24961814
532	13.24357823
533	13.23429495
534	13.22263359
535	13.21401779
536	13.20210835
537	13.18998448
538	13.18187625
539	13.16652245
540	13.15404484
541	13.13971592
542	13.12858483
543	13.12355528
544	13.11405427
545	13.10303023
546	13.09442841
547	13.08321488
548	13.07111007
549	13.06541371
550	13.04878811
551	13.03981079
552	13.02556067
553	13.013167
554	12.99990684
555	12.98973658
556	12.97914002
557	12.96409056
558	12.95681868
559	12.94696521
560	12.93945019
561	12.92798593
562	12.92123997
563	12.91047069
564	12.9018153
565	12.89801
566	12.8866834
567	12.88031047
568	12.86914219
569	12.85478631
570	12.84383122
571	12.83711645
572	12.8224125
573	12.80772134
574	12.79678169
575	12.78335632
576	12.77225607
577	12.76042668
578	12.75325229
579	12.74618058
580	12.73202245
581	12.71907334
582	12.70900575
583	12.69894445
584	12.69358322
585	12.68607175
586	12.67424653
587	12.66491478
588	12.65702862
589	12.64830285
590	12.63929183
591	12.63103492
592	12.62135041
593	12.6148551
594	12.60784436
595	12.59887798
596	12.58679399
597	12.56936799
598	12.557756
599	12.55214817
600	12.54937282
601	12.53905963
602	12.52721368
603	12.51589931
604	12.50717521
605	12.4961094
606	12.48629954
607	12.47862941
608	12.4684394
609	12.46006282
610	12.45004584
611	12.44172697
612	12.43227274
613	12.42182999
614	12.41005005
615	12.40616276
616	12.39980072
617	12.39023243
618	12.38572508
619	12.37929132
620	12.36823755
621	12.36446586
622	12.34562812
623	12.33745349
624	12.33184676
625	12.32450618
626	12.31600685
627	12.3043714
628	12.29480578
629	12.28883646
630	12.28066592
631	12.2712547
632	12.25906496
633	12.25028473
634	12.23965925
635	12.22817712
636	12.21750638
637	12.21366725
638	12.20631015
639	12.19349868
640	12.17880749
641	12.17423117
642	12.16761038
643	12.16214712
644	12.15427154
645	12.14595347
646	12.13482911
647	12.12949421
648	12.12322396
649	12.11696245
650	12.1068271
651	12.10311292
652	12.09689694
653	12.0879576
654	12.07564562
655	12.0712626
656	12.0608041
657	12.04775518
658	12.03778844
659	12.03250075
660	12.02856567
661	12.02431523
662	12.01847566
663	12.00892653
664	11.99838541
665	11.99002422
666	11.9775056
667	11.96611867
668	11.95421202
669	11.95116941
670	11.94227282
671	11.93618084
672	11.93053944
673	11.92122549
674	11.91194484
675	11.89846519
676	11.89065778
677	11.8838005
678	11.87817058
679	11.86705875
680	11.8600549
681	11.85223382
682	11.84258015
683	11.83728535
684	11.83001969
685	11.81952365
686	11.81313535
687	11.80859704
688	11.79415768
689	11.78480558
690	11.77910919
691	11.77265598
692	11.76896901
693	11.76554021
694	11.75566152
695	11.74958783
696	11.74681514
697	11.74192177
698	11.73523128
699	11.73183794
700	11.72160486
701	11.71174395
702	11.69901491
703	11.69498045
704	11.68822882
705	11.67383155
706	11.66699258
707	11.66191924
708	11.6533966
709	11.64515309
710	11.63362056
711	11.62618405
712	11.61783802
713	11.61107048
714	11.60367825
715	11.59673216
716	11.5901023
717	11.58372933
718	11.57843585
719	11.57429256
720	11.57304166
721	11.56545082
722	11.56060938
723	11.5566945
724	11.55134648
725	11.54177386
726	11.53337385
727	11.52551351
728	11.51970196
729	11.51256865
730	11.50299035
731	11.49908949
732	11.49438061
733	11.48573287
734	11.4758432
735	11.46774548
736	11.46284701
737	11.45483859
738	11.44261369
739	11.43439098
740	11.43034521
741	11.42633698
742	11.41904434
743	11.41293555
744	11.40758168
745	11.40621212
746	11.39924353
747	11.39162518
748	11.38467541
749	11.37907832
750	11.37150896
751	11.3656546
752	11.35804422
753	11.34941895
754	11.33955829
755	11.33193235
756	11.32535784
757	11.31848492
758	11.31449312
759	11.30549908
760	11.29792172
761	11.29643374
762	11.28787183
763	11.28121769
764	11.28004169
765	11.27472506
766	11.26753442
767	11.26047061
768	11.2521192
769	11.24598495
770	11.23781825
771	11.23154736
772	11.22170659
773	11.21544161
774	11.21318836
775	11.21051821
776	11.20326323
777	11.19132999
778	11.18719402
779	11.17891882
780	11.17371173
781	11.17057452
782	11.16537701
783	11.15904002
784	11.14698062
785	11.13827474
786	11.12765696
787	11.11963021
788	11.11338138
789	11.10781426
790	11.10234164
791	11.10071152
792	11.09397859
793	11.08297039
794	11.07684253
795	11.07085693
796	11.0620252
797	11.05430591
798	11.0495349
799	11.0446481
800	11.03523467
801	11.03123829
802	11.02617783
803	11.02125583
804	11.01205632
805	11.00843185
806	11.00224767
807	10.99179719
808	10.98560085
809	10.97821132
810	10.96784303
811	10.96048481
812	10.95356251
813	10.94284093
814	10.93574601
815	10.93078102
816	10.92501025
817	10.91785993
818	10.91155068
819	10.9034276
820	10.89820817
821	10.89167495
822	10.88235929
823	10.87549869
824	10.87358283
825	10.86499225
826	10.85657891
827	10.85283459
828	10.84876214
829	10.83971324
830	10.83034194
831	10.82608484
832	10.81961823
833	10.81030205
834	10.8062941
835	10.80532973
836	10.79960957
837	10.79339043
838	10.78790473
839	10.78162579
840	10.77539441
841	10.76484245
842	10.75703597
843	10.75307931
844	10.74855075
845	10.74405823
846	10.73734099
847	10.73235516
848	10.72280177
849	10.71341812
850	10.70570992
851	10.6995959
852	10.69311652
853	10.68800475
854	10.68296582
855	10.67523339
856	10.66648088
857	10.65525518
858	10.65096386
859	10.64986355
860	10.64564548
861	10.63829639
862	10.63434607
863	10.62899613
864	10.62234236
865	10.62136013
866	10.61835502
867	10.61339223
868	10.60816678
869	10.60063282
870	10.59350431
871	10.59259073
872	10.58977889
873	10.58739704
874	10.58002904
875	10.57286759
876	10.56337631
877	10.55785555
878	10.5525055
879	10.54535738
880	10.53759569
881	10.53231288
882	10.52833144
883	10.52373817
884	10.51816578
885	10.51128372
886	10.50838499
887	10.50458395
888	10.50008194
889	10.49014354
890	10.48645559
891	10.47945838
892	10.47517463
893	10.46923014
894	10.46172057
895	10.45858526
896	10.4496404
897	10.44630234
898	10.43992462
899	10.43654867
900	10.42942854
901	10.4230238
902	10.4153661
903	10.40681036
904	10.39931805
905	10.39321263
906	10.38574051
907	10.37979354
908	10.37202543
909	10.36692069
910	10.36004639
911	10.35463304
912	10.34983723
913	10.34283395
914	10.33708955
915	10.33087712
916	10.32860587
917	10.32348975
918	10.31738254
919	10.31397765
920	10.30943264
921	10.30306369
922	10.30035695
923	10.29298123
924	10.28780689
925	10.28524125
926	10.27859392
927	10.2745029
928	10.26939696
929	10.26351143
930	10.25685607
931	10.25171493
932	10.24651123
933	10.24245513
934	10.23497414
935	10.22718113
936	10.22449187
937	10.21900018
938	10.21090276
939	10.20356934
940	10.19926845
941	10.19126455
942	10.18689404
943	10.17866284
944	10.17269269
945	10.16949834
946	10.16759704
947	10.16329988
948	10.15976422
949	10.15552274
950	10.14933789
951	10.14639884
952	10.1423191
953	10.13742382
954	10.12958371
955	10.1244788
956	10.1210866
957	10.1159353
958	10.11182276
959	10.10822699
960	10.10249353
961	10.09406207
962	10.08694067
963	10.08249212
964	10.07529703
965	10.07067791
966	10.06675706
967	10.06079931
968	10.05628525
969	10.05360227
970	10.05009527
971	10.0448468
972	10.03964324
973	10.03704014
974	10.03014393
975	10.02739484
976	10.02426168
977	10.01654308
978	10.01199617
979	10.01067799
980	10.00524738
981	9.996336273
982	9.993550283
983	9.98758463
984	9.977982779
985	9.970954592
986	9.966974292
987	9.960720215
988	9.956481357
989	9.949975602
990	9.947762167
991	9.943805799
992	9.940538249
993	9.937353378
994	9.934731041
995	9.930805365
996	9.925832519
997	9.921986315
998	9.917177109
999	9.912227871
